 kgrid  ValNew  Policy 
    0.85 -11.9041 0.873295
0.850005 -11.9038 0.873295
 0.85001 -11.9034   0.8733
0.850015 -11.9031   0.8733
 0.85002 -11.9028 0.873305
0.850025 -11.9025 0.873305
 0.85003 -11.9022  0.87331
0.850035 -11.9018  0.87331
 0.85004 -11.9015 0.873315
0.850045 -11.9012 0.873315
 0.85005 -11.9009  0.87332
0.850055 -11.9006  0.87332
 0.85006 -11.9002 0.873325
0.850065 -11.8999 0.873325
 0.85007 -11.8996  0.87333
0.850075 -11.8993  0.87333
 0.85008 -11.8989 0.873335
0.850085 -11.8986  0.87334
 0.85009 -11.8983  0.87334
0.850095  -11.898 0.873345
  0.8501 -11.8977 0.873345
0.850105 -11.8973  0.87335
 0.85011  -11.897  0.87335
0.850115 -11.8967 0.873355
 0.85012 -11.8964 0.873355
0.850125  -11.896  0.87336
 0.85013 -11.8957  0.87336
0.850135 -11.8954 0.873365
 0.85014 -11.8951 0.873365
0.850145 -11.8948  0.87337
 0.85015 -11.8944  0.87337
0.850155 -11.8941 0.873375
 0.85016 -11.8938  0.87338
0.850165 -11.8935  0.87338
 0.85017 -11.8932 0.873385
0.850175 -11.8928 0.873385
 0.85018 -11.8925  0.87339
0.850185 -11.8922  0.87339
 0.85019 -11.8919 0.873395
0.850195 -11.8915 0.873395
  0.8502 -11.8912   0.8734
0.850205 -11.8909   0.8734
 0.85021 -11.8906 0.873405
0.850215 -11.8903 0.873405
 0.85022 -11.8899  0.87341
0.850225 -11.8896  0.87341
 0.85023 -11.8893 0.873415
0.850235  -11.889  0.87342
 0.85024 -11.8886  0.87342
0.850245 -11.8883 0.873425
 0.85025  -11.888 0.873425
0.850255 -11.8877  0.87343
 0.85026 -11.8874  0.87343
0.850265  -11.887 0.873435
 0.85027 -11.8867 0.873435
0.850275 -11.8864  0.87344
 0.85028 -11.8861  0.87344
0.850285 -11.8858 0.873445
 0.85029 -11.8854 0.873445
0.850295 -11.8851  0.87345
  0.8503 -11.8848  0.87345
0.850305 -11.8845 0.873455
 0.85031 -11.8841 0.873455
0.850315 -11.8838  0.87346
 0.85032 -11.8835 0.873465
0.850325 -11.8832 0.873465
 0.85033 -11.8829  0.87347
0.850335 -11.8825  0.87347
 0.85034 -11.8822 0.873475
0.850345 -11.8819 0.873475
 0.85035 -11.8816  0.87348
0.850355 -11.8813  0.87348
 0.85036 -11.8809 0.873485
0.850365 -11.8806 0.873485
 0.85037 -11.8803  0.87349
0.850375   -11.88  0.87349
 0.85038 -11.8797 0.873495
0.850385 -11.8793 0.873495
 0.85039  -11.879   0.8735
0.850395 -11.8787 0.873505
  0.8504 -11.8784 0.873505
0.850405  -11.878  0.87351
 0.85041 -11.8777  0.87351
0.850415 -11.8774 0.873515
 0.85042 -11.8771 0.873515
0.850425 -11.8768  0.87352
 0.85043 -11.8764  0.87352
0.850435 -11.8761 0.873525
 0.85044 -11.8758 0.873525
0.850445 -11.8755  0.87353
 0.85045 -11.8752  0.87353
0.850455 -11.8748 0.873535
 0.85046 -11.8745 0.873535
0.850465 -11.8742  0.87354
 0.85047 -11.8739  0.87354
0.850475 -11.8736 0.873545
 0.85048 -11.8732  0.87355
0.850485 -11.8729  0.87355
 0.85049 -11.8726 0.873555
0.850495 -11.8723 0.873555
  0.8505 -11.8719  0.87356
0.850505 -11.8716  0.87356
 0.85051 -11.8713 0.873565
0.850515  -11.871 0.873565
 0.85052 -11.8707  0.87357
0.850525 -11.8703  0.87357
 0.85053   -11.87 0.873575
0.850535 -11.8697 0.873575
 0.85054 -11.8694  0.87358
0.850545 -11.8691  0.87358
 0.85055 -11.8687 0.873585
0.850555 -11.8684  0.87359
 0.85056 -11.8681  0.87359
0.850565 -11.8678 0.873595
 0.85057 -11.8675 0.873595
0.850575 -11.8671   0.8736
 0.85058 -11.8668   0.8736
0.850585 -11.8665 0.873605
 0.85059 -11.8662 0.873605
0.850595 -11.8659  0.87361
  0.8506 -11.8655  0.87361
0.850605 -11.8652 0.873615
 0.85061 -11.8649 0.873615
0.850615 -11.8646  0.87362
 0.85062 -11.8643  0.87362
0.850625 -11.8639 0.873625
 0.85063 -11.8636  0.87363
0.850635 -11.8633  0.87363
 0.85064  -11.863 0.873635
0.850645 -11.8626 0.873635
 0.85065 -11.8623  0.87364
0.850655  -11.862  0.87364
 0.85066 -11.8617 0.873645
0.850665 -11.8614 0.873645
 0.85067  -11.861  0.87365
0.850675 -11.8607  0.87365
 0.85068 -11.8604 0.873655
0.850685 -11.8601 0.873655
 0.85069 -11.8598  0.87366
0.850695 -11.8594  0.87366
  0.8507 -11.8591 0.873665
0.850705 -11.8588 0.873665
 0.85071 -11.8585  0.87367
0.850715 -11.8582 0.873675
 0.85072 -11.8578 0.873675
0.850725 -11.8575  0.87368
 0.85073 -11.8572  0.87368
0.850735 -11.8569 0.873685
 0.85074 -11.8566 0.873685
